0.003350,-0.015388,0.778159,0.005237,-0.014751,0.705163,0.708872,0.117994,0.145891,0.455623,0.118727,-0.200499,-0.151750,0.084784,-0.072487,-0.160906,0.123308,-0.217154,0.094913,0.020112,0.039412,0.124997,0.023570,0.204755,-0.346854,1.106542,0.111429,-0.076485,0.024803,-0.017917,-0.199181,0.382497,1.182257,-0.300756,-0.093257,-0.050619
0.003649,-0.015197,0.778178,0.004775,-0.014656,0.704784,0.709254,0.117710,0.147161,0.456615,0.118731,-0.200662,-0.152577,0.083849,-0.071131,-0.159782,0.123323,-0.217136,0.093539,0.019590,0.039741,0.125080,0.023851,0.204904,-0.346685,1.105527,0.110296,-0.076534,0.025113,-0.018141,-0.199178,0.381800,1.181430,-0.301592,-0.093389,-0.050510
0.003985,-0.015021,0.778193,0.004309,-0.014580,0.704409,0.709631,0.117450,0.148440,0.457593,0.118716,-0.200825,-0.153425,0.082939,-0.069756,-0.158660,0.123323,-0.217110,0.092135,0.019114,0.040109,0.125161,0.024062,0.204976,-0.346546,1.104557,0.109047,-0.076565,0.025449,-0.018314,-0.199196,0.381081,1.180556,-0.302553,-0.093510,-0.050362
0.004299,-0.014848,0.778229,0.003847,-0.014479,0.704023,0.710019,0.117171,0.149703,0.458609,0.118711,-0.200972,-0.154232,0.082002,-0.068406,-0.157525,0.123329,-0.217081,0.090787,0.018882,0.040482,0.125362,0.024089,0.205107,-0.346512,1.103629,0.108169,-0.076599,0.025705,-0.018393,-0.199269,0.379790,1.179536,-0.303581,-0.093691,-0.050216
0.004601,-0.014678,0.778246,0.003380,-0.014327,0.703606,0.710438,0.116843,0.150921,0.459728,0.118703,-0.201068,-0.154939,0.080979,-0.067115,-0.156350,0.123336,-0.217029,0.089580,0.018782,0.040841,0.125474,0.024098,0.205308,-0.346754,1.102841,0.107902,-0.076607,0.025913,-0.018307,-0.199461,0.378416,1.178475,-0.304077,-0.093915,-0.050290
0.004932,-0.014452,0.778261,0.002901,-0.014115,0.703145,0.710900,0.116453,0.152089,0.461011,0.118720,-0.201098,-0.155426,0.079842,-0.065904,-0.155103,0.123336,-0.216920,0.088619,0.018427,0.041209,0.125401,0.024341,0.205446,-0.346766,1.102175,0.108821,-0.076599,0.026072,-0.018403,-0.199647,0.377479,1.177797,-0.303581,-0.094210,-0.050824
0.005282,-0.014218,0.778275,0.002415,-0.013856,0.702654,0.711392,0.116031,0.153219,0.462411,0.118720,-0.201063,-0.155756,0.078625,-0.064747,-0.153805,0.123325,-0.216764,0.087833,0.018000,0.041576,0.125219,0.024663,0.205563,-0.346702,1.101633,0.110586,-0.076579,0.026188,-0.018555,-0.199835,0.376654,1.177319,-0.302466,-0.094562,-0.051670
0.005652,-0.014022,0.778280,0.001923,-0.013578,0.702152,0.711895,0.115589,0.154354,0.463821,0.118705,-0.201013,-0.156159,0.077375,-0.063582,-0.152515,0.123311,-0.216619,0.087042,0.017452,0.041935,0.125016,0.024977,0.205654,-0.346632,1.101245,0.112462,-0.076537,0.026301,-0.018812,-0.199987,0.375993,1.176981,-0.301302,-0.094871,-0.052540
0.006024,-0.013808,0.778303,0.001423,-0.013307,0.701662,0.712385,0.115117,0.155525,0.465128,0.118688,-0.200988,-0.156855,0.076138,-0.062370,-0.151308,0.123299,-0.216546,0.086076,0.016938,0.042317,0.125025,0.025144,0.205835,-0.346712,1.100860,0.113756,-0.076477,0.026347,-0.019003,-0.200287,0.375071,1.176358,-0.300816,-0.095108,-0.052999
0.006408,-0.013589,0.778319,0.000908,-0.013045,0.701188,0.712856,0.114593,0.156755,0.466268,0.118657,-0.201016,-0.158000,0.074898,-0.061074,-0.150204,0.123290,-0.216556,0.084824,0.016295,0.042712,0.125152,0.025234,0.206073,-0.346947,1.100523,0.114151,-0.076385,0.026429,-0.019181,-0.200664,0.374154,1.175524,-0.301262,-0.095180,-0.052892
0.006835,-0.013366,0.778326,0.000390,-0.012769,0.700721,0.713321,0.114027,0.157998,0.467311,0.118602,-0.201059,-0.159439,0.073632,-0.059735,-0.149172,0.123295,-0.216625,0.083413,0.015523,0.043105,0.125349,0.025267,0.206353,-0.347271,1.100272,0.114051,-0.076271,0.026516,-0.019458,-0.201083,0.373276,1.174687,-0.302256,-0.095166,-0.052437
0.007303,-0.013138,0.778330,-0.000126,-0.012490,0.700254,0.713784,0.113465,0.159247,0.468357,0.118556,-0.201091,-0.160947,0.072382,-0.058386,-0.148147,0.123294,-0.216722,0.081974,0.014725,0.043456,0.125622,0.025225,0.206662,-0.347656,1.100150,0.113787,-0.076138,0.026545,-0.019745,-0.201508,0.372497,1.173835,-0.303223,-0.095090,-0.052019
0.007798,-0.012964,0.778332,-0.000613,-0.012193,0.699782,0.714252,0.112962,0.160481,0.469511,0.118510,-0.201059,-0.162296,0.071154,-0.057076,-0.147061,0.123294,-0.216809,0.080637,0.014032,0.043736,0.126006,0.025093,0.207059,-0.348161,1.100142,0.113605,-0.075995,0.026425,-0.019885,-0.201987,0.371840,1.172832,-0.303585,-0.094997,-0.051988
